file,source_key,title,slug,url,date,year,month,tags,categories,summary,keywords,primary_theme,theme_scores,style,style_scores,word_count,sentence_count,avg_sentence_length
content\posts\军训三功记.zh-cn.md,军训三功记,Boot Camp Notes,zw,https://blog.huaxiangshan.com/zh-cn/posts/zw/,2017-10-06 15:39:02,2017,10,Writing,Travel notes,,Writing | Travel notes,Travel & field notes,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 2, ""社会观察与思想随笔"": 0}",Travel,"{""教程指南"": 0, ""学术分析"": 0, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 2}",109,34,3.21
content\posts\鲁迅故居.zh-cn.md,鲁迅故居,Lu Xun's Former Residence: The Sole Light,lxgj,https://blog.huaxiangshan.com/en/posts/lxgj/,2020-12-19 10:35:32,2020,12,Travel | Microhistory,Travel notes,,Travel | Microhistory,Arts & screen,"{""经济学与方法"": 3, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 44, ""旅行调研与地方观察"": 11, ""社会观察与思想随笔"": 1}",Reviews,"{""教程指南"": 0, ""学术分析"": 5, ""评论随笔"": 8, ""文艺评论"": 55, ""游记纪实"": 3}",257,79,3.25
content\posts\企鹅公路.zh-cn.md,企鹅公路,Penguin Highway: The Journey of a Boy Growing Up,penguin,https://blog.huaxiangshan.com/en/posts/penguin/,2020-12-24 20:52:19,2020,12,ACG | Film,Film and TV,,ACG | Film,Arts & screen,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 29, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Reviews,"{""教程指南"": 0, ""学术分析"": 0, ""评论随笔"": 5, ""文艺评论"": 15, ""游记纪实"": 0}",197,43,4.58
content\posts\朝花夕誓.zh-cn.md,朝花夕誓,The Dawn of Farewell - Binding the Flower of Promises on the Morning of Parting,ydzh,https://blog.huaxiangshan.com/en/posts/ydzh/,2021-02-19 20:52:19,2021,2,Film | ACG,Film and TV,,Film | ACG | Preface,Arts & screen,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 17, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Reviews,"{""教程指南"": 0, ""学术分析"": 5, ""评论随笔"": 4, ""文艺评论"": 13, ""游记纪实"": 0}",375,91,4.12
content\posts\瓦尔登湖.zh-cn.md,瓦尔登湖,Reflections on Walden,wedh,https://blog.huaxiangshan.com/en/posts/wedh/,2021-03-29 18:52:19,2021,3,Literature | Reading | Writing,Reading,,Literature | Reading | Writing,Arts & screen,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 12, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",Analysis,"{""教程指南"": 0, ""学术分析"": 4, ""评论随笔"": 4, ""文艺评论"": 2, ""游记纪实"": 0}",84,34,2.47
content\posts\神实主义.zh-cn.md,神实主义,Divine Realism,sszy,https://blog.huaxiangshan.com/en/posts/sszy/,2021-05-22 18:52:19,2021,5,Literature | Reading | Writing,Reading,,Literature | Reading | Writing,Society & essays,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 2, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 15}",Reviews,"{""教程指南"": 0, ""学术分析"": 5, ""评论随笔"": 3, ""文艺评论"": 8, ""游记纪实"": 0}",69,17,4.06
content\posts\河西走廊.zh-cn.md,河西走廊,The Hexi Corridor,hexi,https://blog.huaxiangshan.com/en/posts/hexi/,2022-07-09 19:35:32,2022,7,Travel,Travel notes,,Travel,Travel & field notes,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 14, ""社会观察与思想随笔"": 0}",Travel,"{""教程指南"": 0, ""学术分析"": 0, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 14}",40,17,2.35
content\posts\莫高窟不愿只是旅游景点.zh-cn.md,莫高窟不愿只是旅游景点,The Mogao Grottoes aspire to be more than mere tourist attractions,mgk,https://blog.huaxiangshan.com/en/posts/mgk/,2022-07-29 19:22:08,2022,7,Travel,Travel notes,,Travel | GPT,Travel & field notes,"{""经济学与方法"": 1, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 13, ""社会观察与思想随笔"": 0}",Travel,"{""教程指南"": 0, ""学术分析"": 0, ""评论随笔"": 1, ""文艺评论"": 0, ""游记纪实"": 13}",131,50,2.62
content\posts\调研小记：云南昭通.zh-cn.md,调研小记：云南昭通,"Research Note 1: Zhaotong, Yunnan",ynzt,https://blog.huaxiangshan.com/en/posts/ynzt/,2022-09-10 18:52:19,2022,9,Travel | Fieldwork,Travel notes,,Travel | Fieldwork,Travel & field notes,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 41, ""社会观察与思想随笔"": 0}",Travel,"{""教程指南"": 2, ""学术分析"": 0, ""评论随笔"": 1, ""文艺评论"": 0, ""游记纪实"": 22}",185,62,2.98
content\posts\LaTeX入门.zh-cn.md,LaTeX入门,LaTeX in One Hour,latex,https://blog.huaxiangshan.com/zh-cn/posts/latex/,2022-10-09 18:52:19,2022,10,LaTeX,Software tools,,LaTeX | Software tools,Tools & tech,"{""经济学与方法"": 0, ""软件工具与技术"": 96, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 4}",Guides,"{""教程指南"": 27, ""学术分析"": 1, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",287,23,12.48
