file,source_key,title,slug,url,date,year,month,tags,categories,summary,keywords,primary_theme,theme_scores,mood,mood_score,mood_scores,style,style_scores,word_count,sentence_count,avg_sentence_length
content\posts\军训三功记.zh-cn.md,军训三功记,军训三功记,zw,https://blog.huaxiangshan.com/zh-cn/posts/zw/,2017-10-06 15:39:02,2017,10,作文,游记,高一的军训小作文，补档记录,作文 | 游记 | 一功 : 静如水 | 二功 : 对仗功 | 三功 : 长征行 | 军训三功记,旅行调研与地方观察,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 2, ""社会观察与思想随笔"": 0}",平静记录,0.13,"{""求知探索"": 0, ""理性沉思"": 0, ""兴奋投入"": 0, ""怀旧感伤"": 0, ""批判警醒"": 1, ""平静记录"": 2}",游记纪实,"{""教程指南"": 0, ""学术分析"": 0, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 2}",109,34,3.21
content\posts\鲁迅故居.zh-cn.md,鲁迅故居,鲁迅故居：唯一的光,lxgj,https://blog.huaxiangshan.com/zh-cn/posts/lxgj/,2020-12-19 10:35:32,2020,12,旅游 | 微观历史,游记,鲁迅故居游记,旅游 | 微观历史 | 游记 | 鲁迅故居：唯一的光,文学影视与文艺评论,"{""经济学与方法"": 3, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 44, ""旅行调研与地方观察"": 11, ""社会观察与思想随笔"": 1}",理性沉思,0.48,"{""求知探索"": 7, ""理性沉思"": 19, ""兴奋投入"": 10, ""怀旧感伤"": 8, ""批判警醒"": 1, ""平静记录"": 0}",文艺评论,"{""教程指南"": 0, ""学术分析"": 5, ""评论随笔"": 8, ""文艺评论"": 55, ""游记纪实"": 3}",257,79,3.25
content\posts\企鹅公路.zh-cn.md,企鹅公路,《企鹅公路》：少年终长成,penguin,https://blog.huaxiangshan.com/zh-cn/posts/penguin/,2020-12-24 20:52:19,2020,12,二次元 | 电影,影视剧,世界的尽头，少年的成长之路,二次元 | 电影 | 影视剧 | 森见登美彦的奇幻 | 企鹅公路 | 梗概,文学影视与文艺评论,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 29, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",求知探索,0.3,"{""求知探索"": 21, ""理性沉思"": 1, ""兴奋投入"": 5, ""怀旧感伤"": 2, ""批判警醒"": 7, ""平静记录"": 2}",文艺评论,"{""教程指南"": 0, ""学术分析"": 0, ""评论随笔"": 5, ""文艺评论"": 15, ""游记纪实"": 0}",197,43,4.58
content\posts\朝花夕誓.zh-cn.md,朝花夕誓,朝花夕誓——于离别之朝束起约定之花,ydzh,https://blog.huaxiangshan.com/zh-cn/posts/ydzh/,2021-02-19 20:52:19,2021,2,电影 | 二次元,影视剧,《朝花夕誓——于离别之朝束起约定之花》解析。电影的主题不只是母爱，母爱只是离别的一种意向。,电影 | 二次元 | 影视剧 | 前言 | 剧情线 | 意象解读,文学影视与文艺评论,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 17, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",怀旧感伤,-0.42000000000000004,"{""求知探索"": 0, ""理性沉思"": 17, ""兴奋投入"": 10, ""怀旧感伤"": 18, ""批判警醒"": 10, ""平静记录"": 3}",文艺评论,"{""教程指南"": 0, ""学术分析"": 5, ""评论随笔"": 4, ""文艺评论"": 13, ""游记纪实"": 0}",375,91,4.12
content\posts\瓦尔登湖.zh-cn.md,瓦尔登湖,《瓦尔登湖》有感,wedh,https://blog.huaxiangshan.com/zh-cn/posts/wedh/,2021-03-29 18:52:19,2021,3,文学 | 阅读 | 作文,阅读,尝试模仿瓦尔登湖的写作风格,文学 | 阅读 | 作文 | 瓦尔登湖》有感,文学影视与文艺评论,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 12, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 0}",兴奋投入,1.0,"{""求知探索"": 5, ""理性沉思"": 6, ""兴奋投入"": 10, ""怀旧感伤"": 1, ""批判警醒"": 0, ""平静记录"": 0}",学术分析,"{""教程指南"": 0, ""学术分析"": 4, ""评论随笔"": 4, ""文艺评论"": 2, ""游记纪实"": 0}",84,34,2.47
content\posts\神实主义.zh-cn.md,神实主义,神实主义,sszy,https://blog.huaxiangshan.com/zh-cn/posts/sszy/,2021-05-22 18:52:19,2021,5,文学 | 阅读 | 作文,阅读,高中阅读课随意拿了一本《阎连科文论》，其神实主义的主张直到今天也让我回味无穷。,文学 | 阅读 | 作文 | 神实主义,社会观察与思想随笔,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 2, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 15}",理性沉思,0.08,"{""求知探索"": 1, ""理性沉思"": 5, ""兴奋投入"": 0, ""怀旧感伤"": 1, ""批判警醒"": 0, ""平静记录"": 0}",文艺评论,"{""教程指南"": 0, ""学术分析"": 5, ""评论随笔"": 3, ""文艺评论"": 8, ""游记纪实"": 0}",69,17,4.06
content\posts\河西走廊.zh-cn.md,河西走廊,河西走廊,hexi,https://blog.huaxiangshan.com/zh-cn/posts/hexi/,2022-07-09 19:35:32,2022,7,旅游,游记,河西走廊游记,旅游 | 游记 | 河西走廊,旅行调研与地方观察,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 14, ""社会观察与思想随笔"": 0}",理性沉思,0.08,"{""求知探索"": 0, ""理性沉思"": 2, ""兴奋投入"": 0, ""怀旧感伤"": 0, ""批判警醒"": 0, ""平静记录"": 0}",游记纪实,"{""教程指南"": 0, ""学术分析"": 0, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 14}",40,17,2.35
content\posts\莫高窟不愿只是旅游景点.zh-cn.md,莫高窟不愿只是旅游景点,莫高窟不愿只是旅游景点,mgk,https://blog.huaxiangshan.com/zh-cn/posts/mgk/,2022-07-29 19:22:08,2022,7,旅游,游记,GPT: 这篇文章讨论了敦煌莫高窟不仅是旅游景点，更是一项科学教育事业。文章描述了莫高窟的历史、文化特点以及对游客的吸引力，强调了其独特的文化氛围和历史价值。最后，文章指出，莫高窟的存在不仅仅是宗教的象征，更是不断流传的历史和文化遗产。,旅游 | 游记 | 莫高窟不愿只是旅 | gpt,旅行调研与地方观察,"{""经济学与方法"": 1, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 14, ""社会观察与思想随笔"": 0}",理性沉思,0.08,"{""求知探索"": 0, ""理性沉思"": 18, ""兴奋投入"": 0, ""怀旧感伤"": 1, ""批判警醒"": 3, ""平静记录"": 0}",游记纪实,"{""教程指南"": 0, ""学术分析"": 0, ""评论随笔"": 1, ""文艺评论"": 0, ""游记纪实"": 14}",131,50,2.62
content\posts\调研小记：云南昭通.zh-cn.md,调研小记：云南昭通,调研小记 1：云南昭通,ynzt,https://blog.huaxiangshan.com/zh-cn/posts/ynzt/,2022-09-10 18:52:19,2022,9,旅游 | 调研,游记,云南易地搬迁调研景区、调研总结和酒局经验,旅游 | 调研 | 游记 | 县城景区 | 盐津 | 茶马古道,旅行调研与地方观察,"{""经济学与方法"": 0, ""软件工具与技术"": 0, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 41, ""社会观察与思想随笔"": 0}",求知探索,0.3,"{""求知探索"": 24, ""理性沉思"": 4, ""兴奋投入"": 0, ""怀旧感伤"": 1, ""批判警醒"": 0, ""平静记录"": 6}",游记纪实,"{""教程指南"": 2, ""学术分析"": 0, ""评论随笔"": 1, ""文艺评论"": 0, ""游记纪实"": 22}",185,62,2.98
content\posts\LaTeX入门.zh-cn.md,LaTeX入门,如何在1小时内快速入手LaTeX？,latex,https://blog.huaxiangshan.com/zh-cn/posts/latex/,2022-10-09 18:52:19,2022,10,LaTeX,软件工具,LaTeX 论文排版快速入门。,LaTeX | 软件工具 | 下载和安装 | 快速上手 （两个小时以内 | 进阶教程（论文需要的 | 引用有两种方法,软件工具与技术,"{""经济学与方法"": 0, ""软件工具与技术"": 96, ""文学影视与文艺评论"": 0, ""旅行调研与地方观察"": 0, ""社会观察与思想随笔"": 4}",兴奋投入,0.83,"{""求知探索"": 1, ""理性沉思"": 0, ""兴奋投入"": 3, ""怀旧感伤"": 0, ""批判警醒"": 0, ""平静记录"": 2}",教程指南,"{""教程指南"": 27, ""学术分析"": 1, ""评论随笔"": 0, ""文艺评论"": 0, ""游记纪实"": 0}",287,23,12.48
